Date       Time     Pres     Temp     Cond      Sal      O2%    O2ppm       pH      PAR   Chl(a)Phy-EthrinPhy-Cyanin
03-07-2024 13:46:019.06   -0.47  12.302   0.122    0.077  114.9  12.27  11.254  479.93692    2.75    3.25    5.49
03-07-2024 13:46:019.23   -0.47  12.313   0.122    0.078  114.8  12.26  11.249  479.22046    2.75    3.25    5.49
03-07-2024 13:46:019.48   -0.43  12.297   0.122    0.078  114.9  12.27  11.249  478.61871    2.64    3.29    5.52
03-07-2024 13:46:019.72   -0.39  12.269   0.122    0.078  115.0  12.29  11.251  477.46481    2.63    3.25    5.60
03-07-2024 13:46:019.97   -0.42  12.229   0.122    0.077  115.1  12.32  11.254  476.44189    2.66    3.06    5.54
03-07-2024 13:46:020.21   -0.43  12.171   0.122    0.078  115.3  12.35  11.258  476.09106    2.73    3.30    5.53
03-07-2024 13:46:020.47   -0.42  12.111   0.122    0.078  115.5  12.39  11.261  475.97861    2.73    3.30    5.53
03-07-2024 13:46:020.71   -0.48  12.050   0.123    0.078  115.7  12.43  11.265  475.25323    2.73    3.27    5.54
03-07-2024 13:46:020.96   -0.47  11.986   0.122    0.078  116.0  12.47  11.267  474.83801    2.64    3.21    5.52
03-07-2024 13:46:021.21   -0.39  11.942   0.122    0.078  116.1  12.51  11.266  474.08011    2.61    3.25    5.52
03-07-2024 13:46:021.45   -0.41  11.895   0.122    0.078  116.3  12.53  11.266  473.62048    2.63    3.36    5.54
03-07-2024 13:46:021.70   -0.44  11.849   0.122    0.078  116.4  12.56  11.264  471.79749    2.66    3.19    5.48
03-07-2024 13:46:021.94   -0.42  11.823   0.122    0.078  116.6  12.59  11.265  470.45706    2.57    3.42    5.61
03-07-2024 13:46:022.19   -0.43  11.798   0.122    0.079  116.7  12.60  11.265  467.79843    2.57    3.42    5.61
03-07-2024 13:46:022.43   -0.48  11.772   0.122    0.078  116.8  12.62  11.266  466.39584    2.62    3.07    5.44
03-07-2024 13:46:022.68   -0.42  11.757   0.122    0.078  116.8  12.63  11.265  465.71121    2.53    3.30    5.49
