Tv2C	Sal2	Sbeox2PS	PrdE
1.0	34	21	0
1.2929292929292928	34	21	1
1.5858585858585859	34	21	2
1.878787878787879	34	21	3
2.1717171717171717	34	21	4
2.4646464646464645	34	21	5
2.757575757575758	34	21	6
3.0505050505050506	34	21	7
3.3434343434343434	34	21	8
3.6363636363636362	34	21	9
3.929292929292929	34	21	10
4.222222222222222	34	21	11
4.515151515151516	34	21	12
4.808080808080808	34	21	13
5.101010101010101	34	21	14
5.393939393939394	34	21	15
5.686868686868687	34	21	16
5.97979797979798	34	21	17
6.2727272727272725	34	21	18
6.565656565656566	34	21	19
6.858585858585858	34	21	20
7.151515151515151	34	21	21
7.444444444444445	34	21	22
7.737373737373737	34	21	23
8.030303030303031	34	21	24
8.323232323232324	34	21	25
8.616161616161616	34	21	26
8.90909090909091	34	21	27
9.202020202020202	34	21	28
9.494949494949495	34	21	29
9.787878787878787	34	21	30
10.080808080808081	34	21	31
10.373737373737374	34	21	32
10.666666666666666	34	21	33
10.95959595959596	34	21	34
11.252525252525253	34	21	35
11.545454545454545	34	21	36
11.83838383838384	34	21	37
12.131313131313131	34	21	38
12.424242424242424	34	21	39
12.717171717171716	34	21	40
13.01010101010101	34	21	41
13.303030303030303	34	21	42
13.595959595959595	34	21	43
13.88888888888889	34	21	44
14.181818181818182	34	21	45
14.474747474747474	34	21	46
14.767676767676768	34	21	47
15.06060606060606	34	21	48
15.353535353535353	34	21	49
15.646464646464647	34	21	50
15.93939393939394	34	21	51
16.232323232323232	34	21	52
16.525252525252526	34	21	53
16.81818181818182	34	21	54
17.11111111111111	34	21	55
17.404040404040405	34	21	56
17.696969696969695	34	21	57
17.98989898989899	34	21	58
18.282828282828284	34	21	59
18.575757575757574	34	21	60
18.86868686868687	34	21	61
19.161616161616163	34	21	62
19.454545454545453	34	21	63
19.747474747474747	34	21	64
20.04040404040404	34	21	65
20.333333333333332	34	21	66
20.626262626262626	34	21	67
20.91919191919192	34	21	68
21.21212121212121	34	21	69
21.505050505050505	34	21	70
21.7979797979798	34	21	71
22.09090909090909	34	21	72
22.383838383838384	34	21	73
22.67676767676768	34	21	74
22.96969696969697	34	21	75
23.262626262626263	34	21	76
23.555555555555557	34	21	77
23.848484848484848	34	21	78
24.141414141414142	34	21	79
24.434343434343432	34	21	80
24.727272727272727	34	21	81
25.02020202020202	34	21	82
25.31313131313131	34	21	83
25.606060606060606	34	21	84
25.8989898989899	34	21	85
26.19191919191919	34	21	86
26.484848484848484	34	21	87
26.77777777777778	34	21	88
27.07070707070707	34	21	89
27.363636363636363	34	21	90
27.656565656565657	34	21	91
27.949494949494948	34	21	92
28.242424242424242	34	21	93
28.535353535353536	34	21	94
28.828282828282827	34	21	95
29.12121212121212	34	21	96
29.414141414141415	34	21	97
29.707070707070706	34	21	98
30.0	34	21	100
